administration,State,start_PC_PI,end_PC_PI,dif_PC_PI,start_PC_DPI,end_PC_DPI,dif_PC_DPI,start_PC_PCE,end_PC_PCE,dif_PC_PCE,vote,presidental_party,US_start_PC_PI,US_end_PC_PI,US_dif_PC_PI,US_start_PC_DPI,US_end_PC_DPI,US_dif_PC_DPI,US_start_PC_PCE,US_end_PC_PCE,US_dif_PC_PCE,PC_PI_dif,PC_DPI_dif,PC_PCE_dif
Bush,Montana,23910,35569,11659,21108,31812,10704,22432,32496,10064,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2353,2006,1838
Bush,Nebraska,30184,40291,10107,26657,36096,9439,23451,31772,8321,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,801,741,95
Bush,New Jersey,40189,51606,11417,33807,44165,10358,29466,40170,10704,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2111,1660,2478
Bush,New York,37176,47909,10733,30598,39676,9078,25420,35849,10429,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,1427,380,2203
Bush,North Dakota,26493,40973,14480,23824,36851,13027,22705,32599,9894,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,5174,4329,1668
Bush,Oklahoma,25557,39154,13597,22501,35169,12668,20335,27817,7482,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,4291,3970,-744
Bush,Oregon,28774,36856,8082,24830,32286,7456,24217,31897,7680,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-1224,-1242,-546
Bush,Rhode Island,31795,41487,9692,27497,36711,9214,25189,34434,9245,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,386,516,1019
Bush,South Carolina,25644,33110,7466,22689,29877,7188,21945,29323,7378,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-1840,-1510,-848
Bush,South Dakota,27563,40891,13328,24934,37495,12561,21386,30415,9029,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,4022,3863,803
Bush,Texas,29601,39841,10240,26251,35587,9336,23377,30200,6823,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,934,638,-1403
Bush,Utah,24867,33784,8917,21841,30139,8298,20586,27808,7222,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-389,-400,-1004
Bush,Vermont,30704,40774,10070,27003,36434,9431,26934,36976,10042,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,764,733,1816
Bush,Washington,32986,44098,11112,28962,39703,10741,26227,35397,9170,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,1806,2043,944
Bush,West Virginia,23731,31494,7763,21181,28305,7124,20210,27267,7057,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-1543,-1574,-1169
Bush,Wyoming,31215,49451,18236,27252,43653,16401,23867,34161,10294,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,8930,7703,2068
Obama,Alabama,32717,38704,5987,30104,34912,4808,26958,31999,5041,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-3680,-2576,-1954
Obama,Alaska,47211,55536,8325,43684,50719,7035,38871,45704,6833,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1342,-349,-162
Obama,Arkansas,31411,40181,8770,28802,36198,7396,25712,31829,6117,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-897,12,-878
Obama,California,41660,55862,14202,37290,47720,10430,33919,42472,8553,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,4535,3046,1558
Obama,Delaware,41056,48186,7130,37190,42636,5446,36558,42558,6000,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2537,-1938,-995
Obama,District of Columbia,60011,77500,17489,52307,65669,13362,55364,64600,9236,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,7822,5978,2241
Obama,Hawaii,41144,48561,7417,37599,43120,5521,34879,40236,5357,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2250,-1863,-1638
Obama,Idaho,31200,39653,8453,28713,35547,6834,26145,31591,5446,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1214,-550,-1549
Obama,Illinois,41088,51347,10259,37067,44843,7776,33156,40356,7200,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,592,392,205
Obama,Kansas,39382,46717,7335,35876,41866,5990,30648,35643,4995,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2332,-1394,-2000
Obama,Kentucky,32198,39319,7121,29360,35054,5694,27576,33300,5724,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2546,-1690,-1271
Obama,Louisiana,36803,42132,5329,33867,38154,4287,28740,34426,5686,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-4338,-3097,-1309
Obama,Maine,37107,44234,7127,33916,39443,5527,34300,41396,7096,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2540,-1857,101
Obama,Maryland,48448,56606,8158,42894,48733,5839,36548,42119,5571,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1509,-1545,-1424
Obama,Massachusetts,50751,63476,12725,44801,53559,8758,41046,49052,8006,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,3058,1374,1011
Obama,Minnesota,40963,51982,11019,36641,44687,8046,35010,42020,7010,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,1352,662,15
Obama,Mississippi,30220,35638,5418,28153,32620,4467,25091,30194,5103,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-4249,-2917,-1892
Obama,Missouri,36306,43826,7520,33128,38911,5783,30989,37331,6342,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-2147,-1601,-653
Obama,Montana,34479,43301,8822,31475,38583,7108,31485,38359,6874,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-845,-276,-121
Obama,Nebraska,39422,48688,9266,36123,43540,7417,31007,37860,6853,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-401,33,-142
Obama,New Jersey,49828,59776,9948,44210,51335,7125,39123,45594,6471,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,281,-259,-524
Obama,New York,46936,58400,11464,40661,48772,8111,35509,44002,8493,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,1797,727,1498
